"Age","ChildrenNumber","CountryCitizen","EmploymentField","EmploymentStatus","ExpectedEarning","Gender","Income","JobPref","JobRoleInterest","LanguageAtHome","MaritalStatus","SchoolDegree","StudentDebtOwe"
27,NA,"United Kingdom",NA,"Not working but looking for work",36000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"high school diploma or equivalent (GED)",NA
27,NA,"Germany",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"German",NA,"some college credit, no degree",NA
18,NA,"Belgium",NA,"Not working but looking for work",NA,"female",NA,"freelance",NA,"Polish",NA,"some college credit, no degree",NA
33,NA,"Germany",NA,NA,60000,"male",NA,"work for a startup","Full-Stack Web Developer","German",NA,"trade, technical, or vocational training",25000
29,NA,"Spain","sales","Employed for wages",20000,"male",12000,"work for a startup","Data Scientist / Data Engineer","Spanish",NA,"bachelor's degree",NA
57,2,"Netherlands (Holland, Europe)",NA,"A stay-at-home parent or homemaker",NA,"male",NA,"freelance",NA,"Dutch","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
28,NA,"Ukraine","software development and IT","Employed for wages",NA,"male",11000,NA,NA,"Russian",NA,"master's degree (non-professional)",NA
31,NA,"India","software development and IT","Employed for wages",NA,"male",25000,NA,NA,"Hindi",NA,"bachelor's degree",NA
28,NA,"United States of America",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Spanish",NA,"bachelor's degree",NA
30,NA,"Italy","finance","Employed for wages",NA,"male",50000,"start your own business",NA,"Italian","single, never married","master's degree (non-professional)",NA
43,NA,"Spain","arts, entertainment, sports, or media","Employed for wages",NA,"male",35000,"freelance",NA,"Spanish",NA,"master's degree (non-professional)",NA
37,2,"United States of America","software development and IT","Self-employed business owner",NA,"male",43000,"start your own business",NA,"English","married or domestic partnership","some college credit, no degree",45000
23,NA,"Italy","software development and IT","Self-employed business owner",NA,"male",25000,NA,NA,"Italian",NA,"high school diploma or equivalent (GED)",NA
27,NA,"Argentina","software development and IT","Employed for wages",NA,"male",14500,"start your own business",NA,"Spanish",NA,"some college credit, no degree",NA
30,NA,"India",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Tamil",NA,"bachelor's degree",1000
25,NA,"United States of America","health care","Employed for wages",NA,"male",22000,"start your own business",NA,"English",NA,"trade, technical, or vocational training",5000
26,NA,"Ukraine","software development and IT","Employed for wages",NA,"male",24000,NA,NA,"Russian","single, never married","bachelor's degree",NA
21,NA,NA,NA,"Not working but looking for work",NA,"male",NA,NA,NA,"English",NA,"some college credit, no degree",NA
35,NA,"Portugal",NA,"Employed for wages",50000,"male",90000,"work for a medium-sized company","Data Scientist / Data Engineer","Portuguese",NA,"master's degree (non-professional)",NA
23,NA,"Germany","software development and IT","Employed for wages",NA,"male",30000,"start your own business",NA,"Russian",NA,"some college credit, no degree",NA
22,NA,"France","arts, entertainment, sports, or media","Employed for wages",NA,"male",14000,NA,NA,"French",NA,"master's degree (non-professional)",10000
34,2,"India","health care","Employed for wages",10000,"male",10000,"work for a startup","Data Scientist / Data Engineer","Tamil","married or domestic partnership","Ph.D.",NA
29,NA,"United Kingdom","education","Self-employed freelancer",NA,"male",28000,"freelance",NA,"English",NA,"master's degree (non-professional)",NA
19,NA,"Denmark",NA,"Doing an unpaid internship",60000,"male",NA,"work for a medium-sized company","Front-End Web Developer","Swedish",NA,"high school diploma or equivalent (GED)",NA
23,NA,"Malaysia","education","Self-employed business owner",24000,"male",10000,"work for a startup","Front-End Web Developer","Malay Bhasa Indonesia",NA,"some high school",17000
35,NA,"Finland",NA,"Not working but looking for work",27000,"female",NA,"work for a medium-sized company","Front-End Web Developer",NA,NA,"master's degree (non-professional)",NA
19,NA,"Slovakia",NA,"Not working and not looking for work",NA,"male",NA,"start your own business",NA,NA,NA,"high school diploma or equivalent (GED)",40000
37,NA,"France","software development and IT","Self-employed business owner",NA,"female",NA,NA,NA,"French",NA,"bachelor's degree",NA
19,NA,"Pakistan",NA,"Not working but looking for work",120000,"male",NA,"work for a multinational corporation","Data Scientist / Data Engineer","Sindhi",NA,"some high school",NA
44,2,"United Kingdom","software development and IT","Employed for wages",40000,"male",45000,"work for a multinational corporation","Full-Stack Web Developer","English","married or domestic partnership","bachelor's degree",NA
30,NA,"Portugal","software development and IT","Employed for wages",NA,"male",10000,NA,NA,"Portuguese",NA,"Ph.D.",NA
25,NA,"Czech Republic","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Czech","single, never married","bachelor's degree",NA
28,NA,"Netherlands (Holland, Europe)","software development and IT","Employed for wages",NA,"genderqueer",45332,NA,NA,"English","single, never married","master's degree (non-professional)",NA
33,NA,"United States of America",NA,"Doing an unpaid internship",NA,"female",NA,NA,NA,"English",NA,"master's degree (non-professional)",190000
29,NA,"Somalia",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Somali",NA,"associate's degree",NA
32,NA,"Austria","sales","Employed for wages",NA,"male",1e+05,"start your own business",NA,"German",NA,"master's degree (non-professional)",NA
38,3,"United States of America","education","Employed for wages",NA,"male",30000,"start your own business",NA,"English","married or domestic partnership","bachelor's degree",NA
NA,NA,NA,NA,"Not working but looking for work",60000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
40,NA,"Sweden","construction and extraction","Employed for wages",20000,"male",25000,"work for a medium-sized company","Back-End Web Developer","Swedish",NA,"some college credit, no degree",NA
NA,NA,"Italy",NA,NA,NA,NA,NA,"work for a startup","Full-Stack Web Developer",NA,NA,NA,NA
22,NA,"Belgium","software development and IT","Self-employed freelancer",70000,"female",15000,"work for a startup","Data Scientist / Data Engineer","French",NA,"some college credit, no degree",55000
19,NA,"India","software development and IT","Self-employed freelancer",16000,"male",NA,"work for a multinational corporation","DevOps / SysAdmin","Hindi",NA,"bachelor's degree",NA
50,NA,"Spain","arts, entertainment, sports, or media","Self-employed freelancer",NA,"female",9000,"freelance",NA,"Spanish",NA,"Ph.D.",NA
31,1,"Germany",NA,NA,38000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","German","married or domestic partnership","bachelor's degree",15000
NA,NA,"United Kingdom","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"English",NA,"some high school",NA
20,NA,"Spain",NA,NA,20000,"female",NA,"work for a medium-sized company","Full-Stack Web Developer","Spanish",NA,"high school diploma or equivalent (GED)",NA
35,NA,"Argentina","software development and IT","Self-employed freelancer",NA,"male",35000,"freelance",NA,"Spanish","married or domestic partnership","trade, technical, or vocational training",NA
30,NA,"Hong Kong","software development and IT","Employed for wages",NA,"male",40000,NA,NA,"Yue (Cantonese) Chinese","single, never married","master's degree (non-professional)",22000
35,NA,"Italy","software development and IT","Employed for wages",NA,"male",30000,NA,NA,"French","married or domestic partnership","master's degree (non-professional)",NA
17,NA,"Pakistan",NA,"Not working and not looking for work",NA,"male",NA,"freelance",NA,"Urdu",NA,"high school diploma or equivalent (GED)",NA
50,3,"Great Britain","health care","Employed for wages",NA,"female",NA,"freelance",NA,"English","married or domestic partnership","bachelor's degree",NA
56,3,"France","software development and IT","Self-employed freelancer",NA,"male",20000,NA,NA,"French","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
20,NA,"India",NA,NA,NA,"male",NA,"start your own business",NA,"Hindi",NA,"some college credit, no degree",20000
37,2,"France","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"French","married or domestic partnership","bachelor's degree",NA
31,NA,"Australia","software development and IT","Employed for wages",NA,"male",50000,NA,NA,"English",NA,"bachelor's degree",7500
30,NA,"Switzerland","transportation","Employed for wages",1e+05,"male",65000,"work for a medium-sized company","Front-End Web Developer","French",NA,"high school diploma or equivalent (GED)",70000
32,NA,"Hungary","software development and IT","Employed for wages",NA,"male",12345,NA,NA,"Hungarian",NA,"professional degree (MBA, MD, JD, etc.)",NA
38,NA,"Russia",NA,"Not working but looking for work",30000,"male",NA,"work for a medium-sized company","Quality Assurance Engineer","Russian",NA,NA,NA
22,NA,"Philippines","software development and IT","Self-employed freelancer",NA,"male",6000,"freelance",NA,"Cebuano (Visayan)","single, never married","bachelor's degree",NA
31,1,"Poland","finance","Employed for wages",15000,"male",11500,"work for a medium-sized company","Full-Stack Web Developer","Polish","married or domestic partnership","high school diploma or equivalent (GED)",NA
42,NA,"Ethiopia",NA,"Not working and not looking for work",70000,"trans",NA,"work for a multinational corporation","Full-Stack Web Developer","French",NA,"some college credit, no degree",NA
22,NA,"Netherlands (Holland, Europe)",NA,"Not working but looking for work",25000,"male",NA,"work for a startup","Data Scientist / Data Engineer","Dutch",NA,"some college credit, no degree",15000
24,NA,"United States of America","health care","Employed for wages",NA,"male",8000,"start your own business",NA,"English",NA,"some college credit, no degree",28000
30,NA,"United States of America","software development and IT","Employed for wages",65000,"male",46000,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"bachelor's degree",40000
26,NA,"Israel",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,NA,NA,"some college credit, no degree",NA
45,2,"Croatia","software development and IT","Self-employed business owner",NA,"male",20000,NA,NA,"Serbo-Croatian","married or domestic partnership","bachelor's degree",NA
NA,NA,"Germany",NA,NA,NA,NA,NA,"work for a medium-sized company","Full-Stack Web Developer",NA,NA,"some college credit, no degree",NA
39,NA,"India",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Malayalam",NA,"bachelor's degree",NA
26,NA,"Venezuela","software development and IT","Employed for wages",NA,"male",50000,NA,NA,"Spanish","married or domestic partnership","bachelor's degree",NA
43,NA,"United States of America","arts, entertainment, sports, or media","Employed for wages",60000,"female",50000,"work for a medium-sized company","Front-End Web Developer","English",NA,"bachelor's degree",NA
23,NA,"India","software development and IT","Employed for wages",NA,"male",10550,NA,NA,"Gujarati","single, never married","bachelor's degree",NA
34,2,"United Kingdom","software development and IT","Employed for wages",NA,"male",33136,NA,NA,"English","married or domestic partnership","no high school (secondary school)",NA
31,NA,NA,NA,NA,55000,"female",NA,"work for a medium-sized company","Back-End Web Developer",NA,NA,"bachelor's degree",NA
31,NA,"United Kingdom","software development and IT","Employed for wages",NA,"female",NA,NA,NA,"English",NA,"bachelor's degree",NA
20,NA,"Germany","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"German",NA,"trade, technical, or vocational training",NA
31,NA,"Spain","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Spanish",NA,"some high school",NA
31,NA,"Poland","software development and IT","Employed for wages",30000,"male",25000,"work for a medium-sized company","Data Scientist / Data Engineer","Polish","married or domestic partnership","master's degree (non-professional)",NA
30,1,"India","software development and IT","Employed for wages",NA,"male",60000,NA,NA,"Tamil","married or domestic partnership","bachelor's degree",NA
27,NA,"India","software development and IT","Employed for wages",NA,"male",7917,NA,NA,"Tamil","married or domestic partnership","bachelor's degree",NA
25,NA,"United Kingdom","food and beverage","Employed for wages",NA,"male",6000,"start your own business",NA,"English",NA,"some college credit, no degree",3000
25,NA,"Italy",NA,"Not working but looking for work",NA,"female",NA,"freelance",NA,"Italian",NA,"high school diploma or equivalent (GED)",NA
30,NA,"Poland",NA,"Unable to work",11000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Polish",NA,"high school diploma or equivalent (GED)",NA
47,1,"United States of America","software development and IT","Self-employed freelancer",NA,"male",97000,NA,NA,"English","divorced","trade, technical, or vocational training",22000
33,NA,"Norway",NA,"A stay-at-home parent or homemaker",NA,"female",NA,"start your own business",NA,"Mandarin Chinese",NA,"master's degree (non-professional)",NA
41,NA,"Netherlands (Holland, Europe)","software development and IT","Employed for wages",70000,"male",60000,"work for a medium-sized company","DevOps / SysAdmin","Dutch","married or domestic partnership","bachelor's degree",NA
35,NA,"Serbia","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Serbo-Croatian","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
19,NA,"Romania",NA,"Not working but looking for work",9000,"male",NA,"work for a medium-sized company","Mobile Developer",NA,NA,"high school diploma or equivalent (GED)",NA
25,NA,"Belgium","office and administrative support","Employed for wages",NA,"male",30000,"start your own business",NA,"French",NA,"bachelor's degree",NA
28,1,"United States of America",NA,"Employed for wages",50000,"male",60000,"work for a startup","Back-End Web Developer","English","married or domestic partnership","some college credit, no degree",5500
39,4,"United States of America","sales","Self-employed freelancer",NA,"male",21000,"freelance",NA,"English","married or domestic partnership","trade, technical, or vocational training",NA
28,NA,"Serbia","software development and IT","Employed for wages",NA,"male",12600,NA,NA,"Serbo-Croatian",NA,"bachelor's degree",NA
28,NA,"France","software development and IT","Employed for wages",1e+05,"male",40000,"work for a medium-sized company","Full-Stack Web Developer","French",NA,"bachelor's degree",7500
27,NA,"Italy",NA,"Not working and not looking for work",NA,"male",NA,NA,NA,"Italian",NA,"high school diploma or equivalent (GED)",NA
26,NA,"Poland","education","Employed for wages",50000,"female",9361,"work for a medium-sized company","User Experience Designer","Polish",NA,"professional degree (MBA, MD, JD, etc.)",NA
40,NA,"United Kingdom","sales","Self-employed business owner",NA,"male",NA,"freelance",NA,"English",NA,"some college credit, no degree",NA
27,NA,"Slovakia","software development and IT","Self-employed freelancer",NA,"male",6000,NA,NA,"Slovene",NA,"master's degree (non-professional)",NA
32,1,"Taiwan","software development and IT","Employed for wages",NA,"male",33000,NA,NA,"Mandarin Chinese","married or domestic partnership","master's degree (non-professional)",NA
40,2,"New Zealand",NA,"Employed for wages",NA,"male",NA,NA,NA,"English","married or domestic partnership","bachelor's degree",NA
37,NA,"France","arts, entertainment, sports, or media","Self-employed business owner",NA,"male",50000,"start your own business",NA,"French","married or domestic partnership","Ph.D.",NA
25,NA,"Slovakia","software development and IT","Employed for wages",NA,"male",14000,NA,NA,"Slovene","single, never married","high school diploma or equivalent (GED)",NA
26,NA,"Romania","software development and IT","Employed for wages",120000,"male",8000,"work for a startup","Back-End Web Developer","Romanian",NA,"bachelor's degree",NA
18,NA,"Sri Lanka",NA,NA,80000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Tamil",NA,"no high school (secondary school)",NA
36,NA,"Greece",NA,"Self-employed freelancer",NA,"male",24000,"freelance",NA,"Greek",NA,"master's degree (non-professional)",NA
20,NA,"India",NA,"Not working and not looking for work",NA,"male",NA,"freelance",NA,"Hindi",NA,"bachelor's degree",NA
NA,NA,"Egypt",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Arabic",NA,"bachelor's degree",NA
23,NA,"Senegal","software development and IT","Self-employed freelancer",NA,"male",NA,NA,NA,NA,NA,"bachelor's degree",NA
31,NA,"Taiwan","software development and IT","Employed for wages",NA,"male",NA,NA,NA,NA,NA,"bachelor's degree",NA
25,NA,"Gambia",NA,NA,NA,"male",NA,NA,NA,NA,"single, never married","bachelor's degree",NA
24,NA,"Ireland",NA,"Doing an unpaid internship",40000,"male",NA,"work for a startup","Full-Stack Web Developer","English",NA,"trade, technical, or vocational training",NA
27,NA,"Ukraine","software development and IT","Employed for wages",12000,"male",9500,"work for a multinational corporation","Full-Stack Web Developer","Russian",NA,"bachelor's degree",NA
24,NA,"Russia","software development and IT","Employed for wages",NA,"male",20000,"freelance",NA,"Russian",NA,"master's degree (non-professional)",NA
28,NA,"Sweden","finance","Employed for wages",NA,"female",38000,"start your own business",NA,"Swedish","married or domestic partnership","bachelor's degree",NA
33,NA,"France","software development and IT","Employed for wages",NA,"male",50000,NA,NA,"French",NA,"master's degree (non-professional)",NA
23,NA,"United Kingdom","arts, entertainment, sports, or media","Employed for wages",40000,"male",20000,"work for a multinational corporation","DevOps / SysAdmin","English",NA,"bachelor's degree",NA
25,NA,"Germany","software development and IT","Employed for wages",45000,"male",35000,"work for a startup","Product Manager","German",NA,"bachelor's degree",NA
34,NA,"Germany",NA,"Employed for wages",60000,"male",75000,"work for a medium-sized company","Full-Stack Web Developer","German",NA,"master's degree (non-professional)",NA
20,NA,"India",NA,"Doing an unpaid internship",60000,"male",NA,"work for a multinational corporation","Mobile Developer","Hindi",NA,"bachelor's degree",NA
28,NA,"Ukraine",NA,"Not working and not looking for work",10000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Russian",NA,"some high school",NA
23,NA,"United Kingdom",NA,"Not working but looking for work",50000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",70000
29,1,"Russia","software development and IT","Self-employed freelancer",NA,"male",12000,NA,NA,"Russian","married or domestic partnership","bachelor's degree",NA
28,NA,"France",NA,"Doing an unpaid internship",NA,"male",NA,NA,NA,"English",NA,"some college credit, no degree",NA
58,NA,"United States of America","software development and IT","Self-employed business owner",NA,"male",65000,"freelance",NA,"English",NA,"bachelor's degree",NA
30,NA,"Afghanistan",NA,NA,120000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","Persian",NA,"bachelor's degree",NA
15,NA,"United Kingdom",NA,"Unable to work",40000,"male",NA,"work for a startup","Front-End Web Developer","English",NA,"some high school",NA
27,NA,"Spain",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Spanish",NA,"trade, technical, or vocational training",NA
48,NA,"United States of America",NA,"Not working but looking for work",65000,"female",NA,"work for a medium-sized company","Data Scientist / Data Engineer","English","married or domestic partnership","bachelor's degree",52000
25,NA,"India","software development and IT","Employed for wages",NA,"male",NA,NA,NA,"Tamil","single, never married","bachelor's degree",NA
20,NA,"Pakistan",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Urdu",NA,"some high school",NA
30,NA,"India","software development and IT","Employed for wages",NA,"male",25000,NA,NA,"Kannada","married or domestic partnership","bachelor's degree",NA
27,NA,"Brazil","office and administrative support","Employed for wages",65000,NA,35000,"work for a multinational corporation","DevOps / SysAdmin","Portuguese",NA,"bachelor's degree",NA
18,NA,"Sweden",NA,"Unable to work",44000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","Swedish",NA,"high school diploma or equivalent (GED)",NA
18,NA,"Pakistan",NA,NA,NA,"male",NA,"start your own business",NA,"Urdu",NA,"high school diploma or equivalent (GED)",NA
32,1,"Serbia","health care","Employed for wages",15000,"male",10000,"work for a multinational corporation","Product Manager","Serbo-Croatian","married or domestic partnership","master's degree (non-professional)",NA
30,NA,"United Kingdom","sales","Employed for wages",30000,"female",21500,"work for a medium-sized company","Front-End Web Developer","English",NA,"some college credit, no degree",8000
44,NA,"Poland",NA,"Not working but looking for work",30000,"male",NA,"work for a medium-sized company","Front-End Web Developer","Polish",NA,"some high school",NA
41,1,"India","software development and IT","Self-employed business owner",NA,"male",1e+05,"freelance",NA,"Telugu","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
30,NA,"Belgium",NA,"Employed for wages",NA,"male",120000,"start your own business",NA,"French","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
22,NA,"Pakistan",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Urdu",NA,"bachelor's degree",NA
34,1,"United States of America","software development and IT","Employed for wages",60000,"male",35000,"work for a startup","Full-Stack Web Developer","English","married or domestic partnership","bachelor's degree",60000
36,NA,"Spain","software development and IT","Employed for wages",NA,"male",28000,NA,NA,"Spanish",NA,"professional degree (MBA, MD, JD, etc.)",NA
46,NA,"United Kingdom",NA,"Not working and not looking for work",NA,"female",NA,"freelance",NA,"English",NA,"bachelor's degree",NA
42,2,"Japan","education","Self-employed business owner",NA,"male",20000,"start your own business",NA,"English","married or domestic partnership","master's degree (non-professional)",NA
29,NA,"Portugal",NA,"Military",NA,"male",NA,"start your own business",NA,"Portuguese",NA,"master's degree (non-professional)",NA
25,NA,"Sri Lanka",NA,"Doing an unpaid internship",NA,"male",NA,NA,NA,"Sinhalese",NA,"bachelor's degree",NA
19,NA,"Australia","food and beverage","Employed for wages",70000,"male",20000,"work for a multinational corporation","Back-End Web Developer","English",NA,"high school diploma or equivalent (GED)",NA
32,3,"Poland",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Polish","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
30,NA,"Australia",NA,NA,50000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"bachelor's degree",NA
36,NA,"France","software development and IT","Self-employed freelancer",NA,"male",10000,"freelance",NA,"French",NA,"some college credit, no degree",NA
26,NA,"India","software development and IT","Employed for wages",NA,"female",13000,NA,NA,"English","single, never married","bachelor's degree",NA
21,NA,"United Kingdom","software development and IT","Employed for wages",NA,"agender",26000,NA,NA,"English",NA,"bachelor's degree",25000
33,1,"Sweden","education","Employed for wages",60000,"male",38000,"work for a multinational corporation","DevOps / SysAdmin","Swedish","married or domestic partnership","trade, technical, or vocational training",NA
20,NA,"India",NA,"Not working but looking for work",NA,"male",NA,"start your own business",NA,"Hindi",NA,"some high school",NA
27,NA,"India","software development and IT","Self-employed freelancer",NA,"male",NA,"freelance",NA,"English","married or domestic partnership","bachelor's degree",NA
30,2,"United States of America",NA,NA,NA,"female",NA,"start your own business",NA,"English","married or domestic partnership","professional degree (MBA, MD, JD, etc.)",NA
21,NA,"Brazil",NA,"Not working but looking for work",40000,"male",NA,"work for a multinational corporation","Data Scientist / Data Engineer","Portuguese",NA,"some college credit, no degree",NA
26,NA,"Ukraine","software development and IT","Employed for wages",NA,"male",15000,NA,NA,"Ukrainian",NA,"master's degree (non-professional)",NA
40,2,"Canada",NA,"Employed for wages",NA,"male",NA,NA,NA,"English","married or domestic partnership","Ph.D.",NA
NA,NA,"Algeria",NA,NA,NA,"male",NA,"work for a medium-sized company","Front-End Web Developer","Arabic",NA,"some high school",NA
34,2,"United States of America","health care","Employed for wages",80000,"male",38000,"work for a medium-sized company","Full-Stack Web Developer","English","married or domestic partnership","some high school",NA
27,NA,"Poland","software development and IT","Employed for wages",NA,"female",15000,NA,NA,"Polish",NA,"master's degree (non-professional)",NA
37,NA,"United Kingdom",NA,"Not working but looking for work",30000,"male",NA,"work for a medium-sized company","Front-End Web Developer","English",NA,"bachelor's degree",NA
17,NA,"Australia",NA,"Not working but looking for work",60000,"male",NA,"work for a medium-sized company","Full-Stack Web Developer","English",NA,"some high school",NA
38,3,"United States of America","architecture or physical engineering","Employed for wages",NA,"male",70000,"work for a medium-sized company","Front-End Web Developer","English","married or domestic partnership","bachelor's degree",NA
21,NA,NA,NA,NA,NA,"male",NA,"freelance",NA,"English",NA,"some college credit, no degree",10000
53,1,"United Kingdom",NA,"Not working but looking for work",25000,"male",NA,"work for a medium-sized company","Quality Assurance Engineer","English","married or domestic partnership","trade, technical, or vocational training",NA
35,NA,"United Kingdom","arts, entertainment, sports, or media","Employed for wages",NA,"female",23000,"freelance",NA,"Vietnamese",NA,"bachelor's degree",NA
32,1,"Spain",NA,"Employed for wages",16000,"male",14000,"work for a startup","Mobile Developer","Spanish","married or domestic partnership","some high school",NA
25,NA,"Russia","software development and IT","Self-employed freelancer",10000,"male",12000,"work for a startup","Front-End Web Developer","Russian","married or domestic partnership","master's degree (non-professional)",NA
24,NA,"India","software development and IT","Employed for wages",NA,"male",9000,NA,NA,"Malayalam","single, never married","bachelor's degree",4300
17,NA,"United Kingdom",NA,"Employed for wages",NA,"male",8000,"start your own business",NA,"English",NA,"high school diploma or equivalent (GED)",NA
24,NA,"Spain",NA,NA,30000,"female",NA,"work for a multinational corporation","Front-End Web Developer","Spanish",NA,"bachelor's degree",NA
42,NA,"Russia","software development and IT","Employed for wages",NA,"male",12000,NA,NA,"Russian","divorced","bachelor's degree",NA
21,NA,"Italy","software development and IT","Employed for wages",NA,"male",6000,NA,NA,"Italian",NA,"associate's degree",NA
21,NA,"Romania",NA,"Not working but looking for work",NA,"male",NA,"freelance",NA,"Romanian",NA,"high school diploma or equivalent (GED)",NA
25,NA,"Moldova","software development and IT","Self-employed freelancer",NA,"male",15000,NA,NA,"Romanian",NA,"some high school",NA
25,NA,"India","software development and IT","Self-employed freelancer",NA,"male",NA,NA,NA,"Hindi","single, never married","master's degree (non-professional)",NA
24,NA,"Bosnia & Herzegovina",NA,NA,NA,"male",NA,"work for a startup","Back-End Web Developer",NA,NA,"high school diploma or equivalent (GED)",NA
29,NA,"Mexico",NA,"Doing an unpaid internship",NA,"male",NA,NA,NA,"Spanish",NA,"professional degree (MBA, MD, JD, etc.)",NA
27,NA,"Macedonia",NA,"Not working but looking for work",30000,"female",NA,"work for a multinational corporation","Full-Stack Web Developer",NA,NA,"professional degree (MBA, MD, JD, etc.)",NA
40,1,"United States of America","software development and IT","Employed for wages",NA,"male",45000,"start your own business",NA,"English","married or domestic partnership","bachelor's degree",45000
34,NA,"United States of America",NA,"Not working and not looking for work",60000,"male",NA,"work for a multinational corporation","Full-Stack Web Developer","English",NA,"some college credit, no degree",NA
28,NA,"Belgium","software development and IT","Employed for wages",NA,"male",22410,"work for a medium-sized company","Full-Stack Web Developer","Dutch",NA,"bachelor's degree",NA
24,NA,"Poland",NA,"Employed for wages",NA,"male",14000,NA,NA,"Polish",NA,"high school diploma or equivalent (GED)",10000
24,NA,"France","arts, entertainment, sports, or media","Self-employed freelancer",NA,"female",20000,"freelance",NA,"French",NA,"master's degree (non-professional)",NA
28,NA,"United Kingdom","architecture or physical engineering","Employed for wages",NA,"female",35000,NA,NA,"English",NA,"Ph.D.",40000
34,1,"Portugal","software development and IT","Employed for wages",NA,"male",70000,"freelance",NA,"Portuguese","single, never married","some college credit, no degree",NA
36,NA,"Turkey",NA,"Employed for wages",NA,"male",50000,NA,NA,"Turkish",NA,"professional degree (MBA, MD, JD, etc.)",NA
50,NA,"Virgin Islands (USA)",NA,"Not working but looking for work",75000,"female",NA,"work for a startup","Data Scientist / Data Engineer","English",NA,"bachelor's degree",5000
34,NA,"Bulgaria","software development and IT","Employed for wages",NA,"male",25000,NA,NA,"English",NA,"high school diploma or equivalent (GED)",30000
47,2,"United States of America","software development and IT","Employed for wages",NA,"female",43000,NA,NA,"English","married or domestic partnership","bachelor's degree",NA
24,NA,"Iran",NA,"Not working but looking for work",12000,"male",NA,"work for a startup","Full-Stack Web Developer","Persian",NA,"high school diploma or equivalent (GED)",NA
39,NA,"United States of America","software development and IT","Employed for wages",45000,"male",42000,"work for a medium-sized company","Front-End Web Developer","English","married or domestic partnership","bachelor's degree",NA
35,NA,"Switzerland","software development and IT","Self-employed business owner",NA,"male",NA,NA,NA,"German",NA,"some college credit, no degree",NA
16,NA,"Netherlands (Holland, Europe)",NA,NA,40700,"male",NA,"work for a multinational corporation","Back-End Web Developer","Dutch",NA,"some high school",NA
25,NA,"Canada","sales","Employed for wages",60000,"male",35000,"work for a startup","Back-End Web Developer","English",NA,"bachelor's degree",12000
37,1,"Colombia","software development and IT","Employed for wages",NA,"male",37000,NA,NA,"Spanish","married or domestic partnership","bachelor's degree",14000
17,NA,"United States of America",NA,"Not working and not looking for work",60000,"female",NA,"work for a medium-sized company","Data Scientist / Data Engineer","Tagalog",NA,"some high school",NA
22,NA,"Portugal","software development and IT","Employed for wages",NA,"male",8000,NA,NA,"Portuguese",NA,"no high school (secondary school)",NA
33,NA,"Romania",NA,"Not working but looking for work",10000,"male",NA,"work for a medium-sized company","Front-End Web Developer","Romanian",NA,"high school diploma or equivalent (GED)",NA
28,3,"South Africa","software development and IT","Employed for wages",NA,"female",NA,NA,NA,"English","married or domestic partnership","high school diploma or equivalent (GED)",NA
36,NA,"Bulgaria","software development and IT","Employed for wages",NA,"male",15000,"freelance",NA,"English","single, never married","some college credit, no degree",NA
59,2,"United States of America",NA,"Employed for wages",NA,"male",73000,"freelance",NA,"English","divorced","associate's degree",NA
39,3,"United States of America","software development and IT","Employed for wages",NA,"male",35000,NA,NA,"English","married or domestic partnership","bachelor's degree",50000
30,NA,"Lithuania","software development and IT","Self-employed freelancer",NA,"male",NA,"start your own business",NA,NA,NA,"trade, technical, or vocational training",NA
